run,name,wandb_id,leg,step,tokens,metric,value
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,717,751828992.0,eval/flores_en_bpb,1.4368664481516678
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,717,751828992.0,eval/holdout_ar_bpb,0.9778084785384411
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,717,751828992.0,eval/holdout_en_bpb,1.2910498026238875
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,956,1002438656.0,eval/flores_ar_bpb,1.0019055987670242
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,956,1002438656.0,eval/flores_en_bpb,1.4315180201451625
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,956,1002438656.0,eval/holdout_ar_bpb,0.9502394460866043
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,956,1002438656.0,eval/holdout_en_bpb,1.2565078556448221
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1195,1253048320.0,eval/flores_ar_bpb,0.9869870428445602
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1195,1253048320.0,eval/flores_en_bpb,1.36112232822438
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1195,1253048320.0,eval/holdout_ar_bpb,0.9145996954641435
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1195,1253048320.0,eval/holdout_en_bpb,1.2086447358318457
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1434,1503657984.0,eval/flores_ar_bpb,0.9415369131818336
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1434,1503657984.0,eval/flores_en_bpb,1.3163290406349017
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1434,1503657984.0,eval/holdout_ar_bpb,0.883983038253417
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1434,1503657984.0,eval/holdout_en_bpb,1.168267218656002
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1673,1754267648.0,eval/flores_ar_bpb,0.9281550879816163
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1673,1754267648.0,eval/flores_en_bpb,1.3105790849736456
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,1673,1754267648.0,eval/holdout_ar_bpb,0.8596406135548211
